<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.06	16:00:00	2856.58	2859.65	2834.12	2852.18	47368	0	7
2025.02.06	20:00:00	2852.17	2857.16	2849.78	2856.55	20615	0	7
2025.02.07	00:00:00	2855.57	2868.14	2855.57	2866.12	11741	0	7
2025.02.07	04:00:00	2866.12	2870.24	2861.95	2862.34	17733	0	7
2025.02.07	08:00:00	2862.31	2870.58	2858.80	2868.73	26456	0	7
2025.02.07	12:00:00	2868.86	2870.18	2852.35	2862.56	37196	0	7
2025.02.07	16:00:00	2862.65	2886.64	2853.27	2859.88	56751	0	7
2025.02.07	20:00:00	2859.84	2864.95	2858.97	2861.30	20145	0	7
2025.02.10	00:00:00	2860.43	2876.53	2859.75	2871.62	15487	0	7
2025.02.10	04:00:00	2871.61	2879.78	2871.03	2879.14	20040	0	7
2025.02.10	08:00:00	2879.20	2903.09	2878.76	2902.74	29988	0	7
2025.02.10	12:00:00	2902.80	2911.05	2898.17	2901.00	36819	0	7
2025.02.10	16:00:00	2900.91	2911.49	2896.20	2903.19	36541	0	7
2025.02.10	20:00:00	2903.17	2908.25	2900.72	2907.52	17526	0	7
2025.02.11	00:00:00	2910.64	2935.93	2909.47	2933.85	18858	0	7
2025.02.11	04:00:00	2933.88	2942.62	2905.51	2922.62	36462	0	7
2025.02.11	08:00:00	2922.56	2929.32	2902.79	2903.05	35061	0	7
2025.02.11	12:00:00	2903.05	2906.93	2881.49	2896.45	46046	0	7
2025.02.11	16:00:00	2896.48	2908.55	2890.36	2905.51	50795	0	7
2025.02.11	20:00:00	2905.52	2907.20	2893.95	2899.03	23999	0	7
2025.02.12	00:00:00	2897.68	2900.57	2883.45	2893.22	18605	0	7
2025.02.12	04:00:00	2893.22	2897.77	2883.76	2886.25	28462	0	7
2025.02.12	08:00:00	2886.25	2895.67	2885.60	2886.63	32970	0	7
2025.02.12	12:00:00	2886.64	2889.82	2863.42	2884.66	41681	0	7
2025.02.12	16:00:00	2884.69	2909.14	2881.75	2902.79	50093	0	7
2025.02.12	20:00:00	2902.79	2904.33	2893.49	2903.99	27205	0	7
2025.02.13	00:00:00	2904.81	2908.83	2900.34	2905.85	12905	0	7
2025.02.13	04:00:00	2905.85	2922.61	2905.11	2917.89	22382	0	7
2025.02.13	08:00:00	2917.88	2920.31	2909.40	2915.16	32132	0	7
2025.02.13	12:00:00	2915.16	2921.23	2905.87	2908.42	31312	0	7
2025.02.13	16:00:00	2908.45	2920.91	2906.50	2918.96	45628	0	7
2025.02.13	20:00:00	2918.99	2929.50	2914.16	2928.92	29909	0	7
2025.02.14	00:00:00	2927.85	2933.82	2927.32	2929.80	19037	0	7
2025.02.14	04:00:00	2929.82	2932.36	2923.27	2930.88	29251	0	7
2025.02.14	08:00:00	2930.88	2938.76	2929.94	2935.13	40477	0	7
2025.02.14	12:00:00	2935.13	2940.00	2917.61	2920.54	48921	0	7
2025.02.14	16:00:00	2920.60	2928.46	2885.43	2886.97	82066	0	7
2025.02.14	20:00:00	2886.95	2887.91	2876.98	2882.93	36245	0	7
2025.02.17	00:00:00	2893.16	2896.51	2878.36	2895.44	23191	0	8
2025.02.17	04:00:00	2895.43	2905.20	2893.86	2896.21	28116	0	8
2025.02.17	08:00:00	2896.12	2906.44	2888.20	2902.56	37935	0	8
2025.02.17	12:00:00	2902.55	2903.87	2895.51	2896.74	36111	0	8
2025.02.17	16:00:00	2896.73	2904.07	2896.40	2898.48	34946	0	8
2025.02.17	20:00:00	2898.48	2899.25	2896.80	2898.87	4650	0	8
2025.02.18	00:00:00	2898.64	2900.27	2892.00	2895.75	10969	0	8
2025.02.18	04:00:00	2895.69	2915.70	2895.31	2910.76	28474	0	8
2025.02.18	08:00:00	2910.76	2915.34	2908.30	2912.62	25722	0	8
2025.02.18	12:00:00	2912.57	2921.31	2907.05	2918.77	32844	0	8
2025.02.18	16:00:00	2918.75	2933.67	2917.89	2931.13	49604	0	8
2025.02.18	20:00:00	2931.13	2936.98	2928.36	2936.07	24702	0	8
2025.02.19	00:00:00	2935.12	2939.52	2927.84	2938.35	11790	0	8
2025.02.19	04:00:00	2938.35	2939.56	2924.16	2932.80	27401	0	8
2025.02.19	08:00:00	2932.80	2946.57	2930.30	2945.40	30553	0	8
2025.02.19	12:00:00	2945.40	2946.97	2931.22	2936.25	38089	0	8
2025.02.19	16:00:00	2936.23	2940.54	2921.49	2923.85	56427	0	8
2025.02.19	20:00:00	2923.84	2937.43	2918.58	2933.12	31488	0	8
2025.02.20	00:00:00	2933.48	2942.43	2933.48	2937.07	15325	0	8
2025.02.20	04:00:00	2937.07	2946.85	2933.83	2946.84	22285	0	8
2025.02.20	08:00:00	2946.84	2955.06	2943.96	2951.45	26077	0	8
2025.02.20	12:00:00	2951.46	2954.76	2933.87	2934.01	42669	0	8
2025.02.20	16:00:00	2933.96	2947.02	2924.10	2940.50	59150	0	8
2025.02.20	20:00:00	2940.53	2942.47	2933.72	2939.49	27493	0	8
2025.02.21	00:00:00	2939.41	2949.77	2926.80	2928.64	18561	0	8
2025.02.21	04:00:00	2928.58	2941.12	2924.13	2930.15	33807	0	8
2025.02.21	08:00:00	2930.14	2933.02	2916.76	2929.27	31619	0	8
2025.02.21	12:00:00	2929.27	2936.12	2926.93	2930.95	30154	0	8
2025.02.21	16:00:00	2930.95	2941.61	2921.71	2939.71	50797	0	8
2025.02.21	20:00:00	2939.71	2942.83	2932.07	2936.07	25929	0	8
2025.02.24	00:00:00	2939.24	2940.35	2921.36	2927.99	20004	0	8
2025.02.24	04:00:00	2927.90	2944.60	2924.94	2936.28	32428	0	8
2025.02.24	08:00:00	2936.26	2948.85	2935.21	2944.26	27735	0	8
2025.02.24	12:00:00	2944.24	2954.58	2934.92	2954.41	32656	0	8
2025.02.24	16:00:00	2954.41	2956.16	2930.81	2943.26	61581	0	8
2025.02.24	20:00:00	2943.30	2952.99	2942.74	2952.04	22567	0	8
